Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Price,DistrictId
33,7976,5,,0,184966.9307298416,35
46,10309,1,240.0,1,300009.4500627274,41
34,7759,0,229.0,1,220925.90852358093,53
23,5735,3,1084.0,0,175616.22721724625,58
35,5776,1,2078.0,2,150226.5316437466,99
35,7715,4,990.0,0,215898.4477421489,59
20,4386,14,,1,296021.2043771131,154
6,1437,3,,0,221244.15666358557,74
1,264,0,,0,229102.7959994131,1
6,1437,3,,0,95380.22099316985,23
30,6207,1,1183.0,1,204243.55312879704,28
23,3684,2,,0,165534.5414246522,31
74,19083,2,,5,229220.3726091401,13
49,11395,3,1406.0,3,252481.9083226248,57
2,629,1,,0,140647.56593684404,27
52,11217,1,2300.0,1,89084.32787608178,85
5,1227,0,,0,117000.381286696,27
53,13670,4,,1,231828.43766693235,34
49,11395,3,1406.0,3,183743.23046424173,57
33,6783,3,,1,394895.32598680095,19
25,4756,16,2857.0,5,521919.0573998705,0
9,1892,0,,0,127200.02651097006,27
46,9515,5,,1,215083.96905610108,48
30,5285,0,645.0,6,571069.0526003882,54
24,5613,5,1340.0,2,241718.0995266293,150
6,1437,3,,0,244145.8270685723,74
2,629,1,,0,337299.86793644377,27
6,1437,3,,0,173910.92372317292,23
0,168,0,,0,95338.19854860756,23
36,5992,0,,1,213374.16640304856,11
35,7077,56,2301.0,3,283877.6171417454,50
52,10311,6,,1,189007.2389442105,61
2,469,0,,0,178721.70633739038,27
24,4378,0,1036.0,1,154928.80993818038,44
37,5288,0,1937.0,3,176344.82040566398,90
33,7425,1,,2,402871.9163172412,200
6,1437,3,,0,103510.22360146276,23
17,3079,59,2890.0,0,287056.01254272985,43
36,6714,2,2672.0,0,191550.1213566216,177
0,168,0,,0,229778.0579017187,23
66,10573,1,1322.0,3,171266.94942738526,99
41,6558,7,1548.0,3,197456.9208142761,101
1,264,0,,0,196078.90728935655,1
6,1437,3,,0,184501.01122512692,23
15,2787,2,520.0,0,435462.0480700058,38
47,8004,3,125.0,3,183826.31652243072,21
0,168,0,,0,88464.4253950588,23
19,3806,4,,0,234052.26552661308,103
2,475,0,,0,96029.1678773352,23
23,5212,6,,3,214733.34225833853,98
21,4472,6,1450.0,4,172795.8670771811,170
33,8667,2,,0,148862.21017433386,94
1,264,0,,0,199215.45222932717,1
36,10055,3,,1,182946.36203104112,44
1,264,0,,0,156476.61434830475,1
46,9515,5,,1,276349.9122838608,48
16,3433,4,2643.0,4,279119.9134223016,5
1,388,0,,0,90303.66568299792,23
30,6207,1,1183.0,1,147636.76035604483,28
36,5992,0,,1,242402.234569005,11
43,8429,3,,3,207641.6759898469,88
1,264,0,,0,197343.7979853104,1
46,10309,1,240.0,1,100471.95261307228,47
5,1564,0,540.0,0,113617.2195706784,6
34,7065,1,750.0,2,158148.93648361234,52
2,629,1,,0,114063.0920409234,62
32,5889,10,830.0,4,339414.5500190396,31
49,11395,3,1406.0,3,180538.89892241484,57
46,10309,1,240.0,1,179784.4733339991,77
2,629,1,,0,228584.0010719541,27
2,629,1,,0,167023.97314312926,27
6,1437,3,,0,243479.876105312,74
6,1437,3,,0,160292.1637018166,74
19,3856,10,,2,174952.64419069275,79
5,1564,0,540.0,0,190762.98155043612,6
11,2370,0,,0,197101.04908793507,9
53,13670,4,,1,181167.64240357085,34
52,11217,1,2300.0,1,266989.0161418366,85
35,7077,56,2301.0,3,254236.325085562,156
33,6783,3,,1,184737.9210694037,69
23,3684,2,,0,261086.02440592516,108
53,14892,4,,1,259293.02212247785,96
11,2398,2,1994.0,3,116661.59548998011,169
30,5562,0,,0,267609.8272514647,18
47,8004,3,125.0,3,153038.21948532813,21
53,14892,4,,1,238779.44765093192,27
22,4625,11,3855.0,2,510700.4447348914,148
43,8429,3,,3,210364.3147189588,94
36,10055,3,,1,198183.07691950465,41
27,4798,0,30.0,2,243824.7929712899,128
33,7976,5,,0,242107.0978653341,10
27,5148,14,1575.0,5,212786.0017001436,144
27,5664,48,2300.0,3,305732.5862953504,120
25,5011,8,730.0,0,156375.02000227175,39
23,5067,4,,2,415398.5730306261,7
53,13670,4,,1,286564.4419718113,34
53,14892,4,,1,217349.25658949924,27
22,4789,2,4087.0,4,291058.0808994419,84
6,1437,3,,0,110620.6293204901,23
52,10311,6,,1,165018.9484643495,61
1,264,0,,0,175188.95821584578,1
1,264,0,,0,92127.0617882676,1
47,11319,0,1145.0,3,274570.7175007904,123
0,168,0,,0,113250.4265003472,23
25,5648,1,30.0,2,184172.97563930124,9
33,5261,0,240.0,3,241419.59687217,1
49,11395,3,1406.0,3,270071.6195151077,57
17,3079,59,2890.0,0,378581.5411997035,159
2,469,0,,0,192625.0493997445,27
39,7614,3,,1,201121.07053639012,70
25,5011,8,730.0,0,150513.47488734513,39
33,8667,2,,0,204804.84335521163,94
24,5613,5,1340.0,2,313452.5352345641,129
37,5288,0,1937.0,3,225889.6912453254,3
7,1660,39,1786.0,1,224746.81185663465,95
2,629,1,,0,213798.18515132743,27
21,4346,2,165.0,1,212821.6747251237,78
1,264,0,,0,186403.4841889536,1
30,5562,0,,0,293371.9575586355,18
23,5212,6,,3,250466.98077681608,45
21,5731,0,,1,373510.0571282724,15
19,3293,16,628.0,3,269680.638174428,121
24,5613,5,1340.0,2,168601.97480454494,49
53,13670,4,,1,309688.5926806599,25
33,6783,3,,1,435909.1097547888,19
1,264,0,,0,184324.9008862336,1
37,7687,11,176.0,5,354879.4031837641,59
30,6207,1,1183.0,1,203425.39606435492,28
35,7715,4,990.0,0,317296.3052996641,2
5,1564,0,540.0,0,175899.97828362975,6
53,14892,4,,1,155312.29482522552,96
2,629,1,,0,265978.8377804947,27
37,7687,11,176.0,5,146061.7305650271,108
13,2514,19,,0,176480.46517329663,127
5,1564,0,540.0,0,180727.6435410948,6
52,11217,1,2300.0,1,87182.52338492699,85
11,3097,0,,0,116942.67104480596,27
23,5067,4,,2,292718.3126005229,56
32,5889,10,830.0,4,427526.00361512345,31
1,264,0,,0,194510.14788951524,1
18,3594,4,192.0,1,201616.2738975917,169
32,5889,10,830.0,4,419692.9780338244,31
16,4048,3,,1,177434.7589711046,61
6,1437,3,,0,171901.0874084269,74
25,5027,4,46.0,1,239038.59002294773,109
53,13670,4,,1,241737.8084974161,34
2,629,1,,0,170564.40872038715,62
2,629,1,,0,206780.54887701644,27
53,13670,4,,1,187899.22196065105,9
25,6149,0,,0,137656.12292446892,94
31,6137,4,,0,465067.0658834223,46
23,4635,5,3300.0,2,145941.55533360448,17
0,168,0,,0,114168.53270326483,23
2,629,1,,0,131797.47228439266,62
6,1437,3,,0,123749.81125374604,23
2,629,1,,0,128813.57022387734,62
25,4724,2,1308.0,1,189407.27604071,44
1,388,0,,0,111389.48105876287,23
2,629,1,,0,174687.5661862937,27
52,11217,1,2300.0,1,202321.23147284004,85
5,1564,0,540.0,0,193361.2298149829,6
2,629,1,,0,147040.22612039236,27
42,7651,1,,1,186508.208564838,119
35,5776,1,2078.0,2,218392.93428619305,99
53,14892,4,,1,144400.25776795662,96
46,10309,1,240.0,1,224277.83102613143,41
49,11395,3,1406.0,3,213877.5597629005,57
1,264,0,,0,245130.10663746108,1
23,5212,6,,3,189565.89794984864,98
16,4048,3,,1,204117.83359830943,47
42,9292,3,2620.0,0,477665.5829146461,7
34,7065,1,750.0,2,120670.10176628391,52
23,4583,3,,3,254013.43464408853,47
11,3097,0,,0,109264.47414521917,27
5,1564,0,540.0,0,192944.37932373295,6
2,469,0,,0,207858.57125868363,27
38,4788,2,,0,238623.8888412545,80
2,629,1,,0,190968.19068903895,27
49,11395,3,1406.0,3,148991.2652001697,57
31,7010,5,4508.0,3,183891.14730105453,86
52,10311,6,,1,245215.47730896933,61
43,7227,0,,1,269995.0027797259,83
34,7065,1,750.0,2,194618.91775709105,52
24,4378,0,1036.0,1,169711.36768165938,44
6,1437,3,,0,165071.82572182963,74
39,7614,3,,1,243008.1393059241,62
23,3975,8,770.0,2,527120.8365334661,137
36,10055,3,,1,217099.77313127727,41
30,6564,1,,0,184156.11565779167,91
25,6149,0,,0,162335.0140342568,94
25,5011,8,730.0,0,143120.9047238132,39
20,4386,14,,1,208662.6761233252,92
21,4472,6,1450.0,4,295004.8656963223,118
53,14892,4,,1,173331.29890816894,187
2,629,1,,0,159654.0583783081,62
30,5285,0,645.0,6,466730.8053327907,54
39,10418,9,900.0,1,309690.98158393835,7
8,1497,5,,1,91600.74197793,36
74,19083,2,,5,311528.10086342023,13
31,7010,5,4508.0,3,161307.51198226758,86
41,6558,7,1548.0,3,244351.4102361528,101
39,10418,9,900.0,1,254573.5678844734,7
22,3151,4,2715.0,3,260776.9137974053,106
2,629,1,,0,212527.4265195844,62
34,7065,1,750.0,2,179476.81049473328,52
2,629,1,,0,183038.511216672,27
5,1564,0,540.0,0,222592.1768936081,6
14,3369,24,4129.0,0,383231.9608557049,161
5,1564,0,540.0,0,101123.73306602536,6
53,14892,4,,1,134497.6434555525,27
30,6564,1,,0,238485.4724189136,28
22,4625,11,3855.0,2,155144.01923597365,98
43,8429,3,,3,412511.08876429935,88
53,14892,4,,1,142483.7106867975,27
30,6207,1,1183.0,1,192794.9134059137,22
1,264,0,,0,209569.7743990984,1
35,7715,4,990.0,0,295961.9366821018,19
2,629,1,,0,198351.89245479504,27
26,3889,6,705.0,3,260824.2164651279,63
52,11217,1,2300.0,1,142269.26809029852,85
0,168,0,,0,94827.30508499323,23
42,9292,3,2620.0,0,89269.1881688485,7
36,5992,0,,1,281025.5505723644,11
2,629,1,,0,194091.9925597275,27
36,10055,3,,1,215560.24087496253,41
2,475,0,,0,94607.97605022244,23
23,5212,6,,3,230239.55572923407,45
39,10418,9,900.0,1,370148.6252854998,2
25,5648,1,30.0,2,246800.1553129698,9
6,1437,3,,0,130372.03180729576,23
6,2733,0,920.0,0,420616.8708922509,123
5,1564,0,540.0,0,216199.81776140645,6
21,4231,14,1020.0,0,414194.2853361465,167
2,629,1,,0,159497.15641013213,27
9,1892,0,,0,182228.52002951183,27
25,5487,3,,0,103507.76632719484,21
1,264,0,,0,169749.17381476212,1
34,7065,1,750.0,2,180706.6412043043,52
1,388,0,,0,66379.80225834277,23
1,264,0,,0,153217.0510721243,1
35,5776,1,2078.0,2,188197.9593480905,99
24,5469,1,145.0,0,227828.0112908359,113
34,7065,1,750.0,2,186059.10990553265,52
50,12238,8,1970.0,2,507621.564282382,66
6,1437,3,,0,121517.60412136283,23
25,5648,1,30.0,2,134933.00430180522,9
6,1437,3,,0,117742.4352493535,23
10,2277,2,1547.0,0,294802.6420533637,29
25,4724,2,1308.0,1,184772.1741260349,37
22,4789,2,4087.0,4,143121.97547171748,84
6,1437,3,,0,224079.8591957084,74
37,7687,11,176.0,5,269381.3513583736,20
2,629,1,,0,177511.31482684962,27
26,4439,1,1130.0,1,165879.32469508823,8
30,6141,10,262.0,3,377934.0056289271,109
2,469,0,,0,132276.33756960864,27
1,264,0,,0,196269.45008194572,1
0,168,0,,0,71690.96947386798,23
53,14892,4,,1,168143.3456997873,96
43,8429,3,,3,232785.50284502443,88
21,4472,6,1450.0,4,347780.9142473413,170
39,10418,9,900.0,1,180923.16951988928,7
30,7538,87,4702.0,5,541173.3193911902,181
11,2398,2,1994.0,3,403979.0598937014,40
30,5285,0,645.0,6,246473.4388291688,54
43,7227,0,,1,232830.79876719596,83
25,6149,0,,0,134059.90597710494,93
53,13670,4,,1,140956.3271821275,34
2,469,0,,0,196519.97616932527,27
42,7651,1,,1,85293.61872042036,119
18,3374,5,620.0,1,212290.68408602732,17
22,6398,141,1046.0,3,174735.17718392238,30
13,2514,19,,0,219071.4034771808,127
30,6141,10,262.0,3,184873.0324865545,109
43,10621,1,30.0,2,241747.94628388,3
24,5613,5,1340.0,2,209390.67159801672,129
30,6564,1,,0,175868.08203478975,91
25,5011,8,730.0,0,152631.0902906402,39
74,19083,2,,5,237568.67158119823,13
1,264,0,,0,232726.62813693288,1
35,5776,1,2078.0,2,100378.01085605,11
26,4439,1,1130.0,1,194684.33939886765,8
24,5613,5,1340.0,2,303409.6417855321,49
50,12238,8,1970.0,2,277865.2857063173,66
6,1437,3,,0,143780.69994718806,23
2,469,0,,0,222112.92378935523,27
22,6398,141,1046.0,3,517817.1629805186,30
1,264,0,,0,202871.55141957555,1
2,629,1,,0,135862.01311987988,85
22,6398,141,1046.0,3,202260.78813259903,30
25,4756,16,2857.0,5,286325.09704561083,81
1,264,0,,0,266819.3653253512,1
1,264,0,,0,205150.2473231653,1
8,1423,37,562.0,1,413262.2833313097,181
1,264,0,,0,143414.10697596284,1
5,1564,0,540.0,0,207833.01232519632,6
9,1892,0,,0,145814.83843292613,27
35,7715,4,990.0,0,131981.4844377357,19
33,6783,3,,1,478946.2456488622,69
38,4788,2,,0,254263.2944001489,80
1,264,0,,0,164312.21619327264,1
2,629,1,,0,200253.12754715572,62
9,1892,0,,0,160035.13900234038,27
16,4048,3,,1,132782.67541027322,47
1,264,0,,0,144040.472334819,1
23,3684,2,,0,576037.6323824784,108
39,7614,3,,1,240447.4520838288,62
37,5288,0,1937.0,3,354787.3473552374,90
